Alpha: 0.0002, training set size: 1000, test set size: 10000, weights : <-0.01, 0.01><-0.1, 0.1>, hidden units: 300
Iter: 0, Test accuracy: 14.08%
Iter: 10, Test accuracy: 17.85%
Iter: 20, Test accuracy: 20.9%
Iter: 30, Test accuracy: 23.51%
Iter: 40, Test accuracy: 25.26%
Iter: 50, Test accuracy: 26.75%
Iter: 60, Test accuracy: 28.04%
Iter: 70, Test accuracy: 29.32%
Iter: 80, Test accuracy: 30.19%
Iter: 90, Test accuracy: 31.35%
Iter: 100, Test accuracy: 32.07%
Iter: 110, Test accuracy: 33.02%
Iter: 120, Test accuracy: 33.68%
Iter: 130, Test accuracy: 34.16%
Iter: 140, Test accuracy: 34.62%
Iter: 150, Test accuracy: 35.2%
Iter: 160, Test accuracy: 35.47%
Iter: 170, Test accuracy: 35.81%
Iter: 180, Test accuracy: 36.33%
Iter: 190, Test accuracy: 36.56%
Iter: 200, Test accuracy: 36.92%
Iter: 210, Test accuracy: 37.16%
Iter: 220, Test accuracy: 37.42%
Iter: 230, Test accuracy: 37.55%
Iter: 240, Test accuracy: 37.87%
Iter: 250, Test accuracy: 37.95%
Iter: 260, Test accuracy: 38.17%
Iter: 270, Test accuracy: 38.23%
Iter: 280, Test accuracy: 38.36%
Iter: 290, Test accuracy: 38.5%
Iter: 300, Test accuracy: 38.68%
Iter: 310, Test accuracy: 38.84%
Iter: 320, Test accuracy: 39.03%
Iter: 330, Test accuracy: 39.2%
Iter: 340, Test accuracy: 39.38%
