Alpha: 0.0005, training set size: 1000, test set size: 10000, weights : <-0.01, 0.01><-0.1, 0.1>, hidden units: 100
Iter: 0, Test accuracy: 8.8%
Iter: 10, Test accuracy: 16.74%
Iter: 20, Test accuracy: 25.92%
Iter: 30, Test accuracy: 32.18%
Iter: 40, Test accuracy: 35.3%
Iter: 50, Test accuracy: 37.23%
Iter: 60, Test accuracy: 38.02%
Iter: 70, Test accuracy: 38.74%
Iter: 80, Test accuracy: 39.1%
Iter: 90, Test accuracy: 39.59%
Iter: 100, Test accuracy: 39.99%
Iter: 110, Test accuracy: 40.21%
Iter: 120, Test accuracy: 40.45%
Iter: 130, Test accuracy: 40.55%
Iter: 140, Test accuracy: 40.77%
Iter: 150, Test accuracy: 40.92%
Iter: 160, Test accuracy: 41.13%
Iter: 170, Test accuracy: 41.2%
Iter: 180, Test accuracy: 41.37%
Iter: 190, Test accuracy: 41.41%
Iter: 200, Test accuracy: 41.65%
Iter: 210, Test accuracy: 41.71%
Iter: 220, Test accuracy: 41.92%
Iter: 230, Test accuracy: 42.07%
Iter: 240, Test accuracy: 42.17%
Iter: 250, Test accuracy: 42.38%
Iter: 260, Test accuracy: 42.41%
Iter: 270, Test accuracy: 42.41%
Iter: 280, Test accuracy: 42.67%
Iter: 290, Test accuracy: 42.88%
Iter: 300, Test accuracy: 42.94%
Iter: 310, Test accuracy: 43.05%
Iter: 320, Test accuracy: 43.07%
Iter: 330, Test accuracy: 43.16%
Iter: 340, Test accuracy: 43.19%
